sku,title,image1,image2,image3,image4,image5,image6,image7,image8,image9
PT0001-000080GB,80 Gram | Black Pepper Powder | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0001-000080GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0003-000250BP,250 Gram | Dalchini Powder | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000250BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000250BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000250BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000250BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000250BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000250BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000250BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0003-000250BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0004-000050BP,50 Gram | Laung | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0004-000050GB,50 Gram | Laung | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000050GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0004-000100BP,100 Gram | Laung | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0004-000100GB,100 Gram | Laung | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0004-000100GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0005-000060GB,60 Gram | Adrak Powder | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000060GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000060GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000060GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000060GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000060GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000060GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000060GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000060GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0005-000100BP,200 Gram | Adrak Powder | Brown Pouch | moq,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000100BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000100BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000100BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000100BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000100BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000100BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000100BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000100BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0005-000150GB,150 Gram | Adrak Powder | Glass Bottle | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000150GB.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000150GB.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000150GB.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000150GB.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000150GB.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000150GB.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000150GB.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000150GB.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0005-000250BP,250 Gram | Adrak Powder | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000250BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000250BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000250BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000250BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000250BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000250BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000250BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0005-000250BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0007-000350BP-1A1,350 Gram | Jaggery Powder | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000350BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000350BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000350BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000350BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000350BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000350BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000350BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000350BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0007-000850BP-1A1,850 Gram | Jaggery Powder | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000850BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000850BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000850BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000850BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000850BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000850BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000850BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0007-000850BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0008-000850BP-1A1,850 Gram | Kala Chana | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-000850BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-000850BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-000850BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-000850BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-000850BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-000850BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-000850BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-000850BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0008-001800BP-1A1,1800 Gram | Kala Chana | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-001800BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-001800BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-001800BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-001800BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-001800BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-001800BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-001800BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0008-001800BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0009-000850BP-1A1,850 Gram | Urad Dal Split Without Skin | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-000850BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-000850BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-000850BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-000850BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-000850BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-000850BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-000850BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-000850BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0009-001800BP-1A1,1800 Gram | Urad Dal Split Without Skin | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-001800BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-001800BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-001800BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-001800BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-001800BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-001800BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-001800BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-001800BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0009-005000BP-1A1,5000 Gram | Urad Dal Split Without Skin | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-005000BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-005000BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-005000BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-005000BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-005000BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-005000BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-005000BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0009-005000BP.PT07.jpg,
PT0010-000850BP-1A1,850 Gram | Urad Sabut Whole With Skin | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-000850BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-000850BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-000850BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-000850BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-000850BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-000850BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-000850BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-000850BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0010-001800BP-1A1,1800 Gram | Urad Sabut Whole With Skin | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-001800BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-001800BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-001800BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-001800BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-001800BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-001800BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-001800BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-001800BP.PT07.jpg,http://cdn.iospl.com/cache/1500x1500/saurabh/Certification.jpg
PT0010-005000BP-1A1,5000 Gram | Urad Sabut Whole With Skin | Brown Pouch | Flex,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-005000BP.MAIN.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-005000BP.PT01.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-005000BP.PT02.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-005000BP.PT03.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-005000BP.PT04.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-005000BP.PT05.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-005000BP.PT06.jpg,https://cdn.iospl.com/cache/1500x1500-6/saurabh/PT0010-005000BP.PT07.jpg,
